Start date,value
2023-06-12,1143833.607142857
2023-06-19,1189780.4642857143
2023-06-26,1202797.5
2023-07-03,1199962.5357142857
2023-07-10,1195178.9285714286
2023-07-17,1193020.0357142857
2023-07-24,1162167.75
2023-07-31,1152551.3214285714
2023-08-07,1156258.0357142857
2023-08-14,1149689.892857143
2023-08-21,1166799.6785714286
2023-08-28,1180078.4285714286
2023-09-04,1171573.7857142857
2023-09-11,1193624.5357142857
2023-09-18,1208855.5357142857
2023-09-25,1193371.857142857
2023-10-02,1183789.5714285714
2023-10-09,1192478.1785714286
2023-10-16,1263265.25
2023-10-23,1293986.1785714286
2023-10-30,1305174.2142857143
2023-11-06,1280144.25
2023-11-13,1354845.9642857143
2023-11-20,1363585.107142857
2023-11-27,1399390.5714285714
2023-12-04,1460437.1785714286
2023-12-11,1427913.1785714286
2023-12-18,1378922.892857143
2023-12-25,1279062.25
2024-01-01,1114716.0357142857
2024-01-08,1335999.5357142857
2024-01-15,1489327.2857142857
2024-01-22,1507372.7857142857
2024-01-29,1397797.7142857143
2024-02-05,1417234.0
2024-02-12,1380749.9285714286
2024-02-19,1347665.857142857
2024-02-26,1368505.857142857
2024-03-04,1346751.3214285714
2024-03-11,1356717.2142857143
2024-03-18,1329521.6785714286
2024-03-25,1303446.9642857143
2024-04-01,1171112.4285714286
2024-04-08,1253545.892857143
2024-04-15,1260077.357142857
2024-04-22,1286407.0
2024-04-29,1260473.3214285714
2024-05-06,1168565.4285714286
2024-05-13,1137170.9285714286
2024-05-20,1166202.4285714286
2024-05-27,1170353.5357142857
2024-06-03,1160799.2142857143
2024-06-10,1183775.607142857
2024-06-17,1201155.5
2024-06-24,1201395.4285714286
2024-07-01,1211915.6785714286
2024-07-08,1209290.5357142857
2024-07-15,1200800.2857142857
2024-07-22,1193725.0357142857
2024-07-29,1157085.1785714286
2024-08-05,1164413.25
2024-08-12,1183268.857142857
2024-08-19,1189853.0357142857
2024-08-26,1194028.892857143
2024-09-02,1211530.9642857143
2024-09-09,1252762.2142857143
2024-09-16,1231413.9642857143
2024-09-23,1177665.7857142857
2024-09-30,1246516.0714285714
2024-10-07,1183245.8214285714
2024-10-14,1258649.0
2024-10-21,1253887.0
2024-10-28,1249366.5357142857
2024-11-04,1249164.857142857
2024-11-11,1343062.5357142857
2024-11-18,1411930.642857143
2024-11-25,1437810.0357142857
2024-12-02,1419463.0
2024-12-09,1442723.0357142857
2024-12-16,1422410.4642857143
2024-12-23,1333685.7857142857
2024-12-30,1150707.0714285714
2025-01-06,1270609.5
2025-01-13,1458223.9642857143
2025-01-20,1475585.3214285714
2025-01-27,1432037.75
2025-02-03,1410254.3028571426
2025-02-10,1462596.0314285716
2025-02-17,1469660.5885714288
2025-02-24,1412901.6328571427
2025-03-03,1361709.1685714286
2025-03-10,1316208.8385714288
2025-03-17,1344922.2685714285
2025-03-24,1299947.25
2025-03-31,1286183.5357142857
2025-04-07,1239303.9142857143
2025-04-14,1245027.5242857144
2025-04-21,1144751.1114285714
2025-04-28,1206190.9385714286
2025-05-05,1133655.6328571427
2025-05-12,1182430.6014285714
2025-05-19,1189392.8171428572
2025-05-26,1212986.082857143
2025-06-02,1140164.897142857
2025-06-09,1158483.4114285714
2025-06-16,1181938.17
2025-06-23,1151225.6971428571
2025-06-30,1226563.2942857144
2025-07-07,1232846.0399999998
2025-07-14,1188129.1742857143
2025-07-21,1170251.5142857141
2025-07-28,1169593.912857143
2025-08-04,1153106.3114285714
2025-08-11,1130263.8599999999
2025-08-18,1157001.0457142857
2025-08-25,1153924.57
2025-09-01,1164768.6942857143
2025-09-08,1178973.6057142857
2025-09-15,1199957.9642857143
2025-09-22,1221438.8114285714
2025-09-29,1247789.0414285713
2025-10-06,1233109.4942857143
2025-10-13,1285960.1457142856
2025-10-20,1299975.4685714284
2025-10-27,1355490.9414285715
2025-11-03,1314906.1814285715
2025-11-10,1340073.9142857143
2025-11-17,1365064.5157142857
2025-11-24,1462711.77
2025-12-01,1450179.99
2025-12-08,1445384.4957142859
2025-12-15,1410001.1642857143
2025-12-22,1338977.7085714287
2025-12-29,1206172.6742857143
2026-01-05,1212962.9733333334
